labels,0,1,2,3,4,5,6,7,8,9
Afghanistan,-0.17878042072977018,-0.7496465904704301,0.13691505669839882,0.6217614533715915,-0.2629993024344649,-0.7874766403414998,0.7682875044596177,-0.0852393598776144,-0.6551146359273512,0.9635776403011488
Algeria,-0.2904680452261954,0.07852846593917588,0.23892190597423643,0.31833052167482356,-0.05220063527477724,-0.2823146918853715,0.03441267663476155,0.05912207916833886,-0.44783336942829666,0.45410564111596613
Angola,0.21645564706473297,0.0360444301613535,-0.23371286263734495,-0.30407537197848716,-0.09581346794364595,0.6351336411798143,-0.4779298092823444,-0.013958758876934799,0.10895011227702331,0.09272595723071653
Antigua and Barbuda,-0.07428670977753797,-0.9831056273426468,-0.4340721405445479,0.3697761645932658,0.02867332817515142,-1.1988231876288677,2.3230358904851,-0.15733988307795002,-0.39311132227609635,0.04779560766715082
Argentina,-1.1143613091626463,-1.7621228464017704,-2.1408591245166613,0.3309658736451266,-0.09751787957153282,-1.3663958076778306,0.8572944709756785,0.24619487894746,1.3153760540016808,1.0811956782766727
Armenia,-1.3540122926169844,-1.1055211405397427,0.20970221816649007,0.9621367623738525,-0.01993007110434633,-1.8452290433102239,1.8516438558717665,0.17751006638767966,-1.9669530347320108,2.5689255883917608
Australia,0.08143016684179331,-1.3457327776519095,-1.3560605152421628,-1.0856468863057394,0.9729317250583925,-0.017421331610944273,-0.5374854699137649,2.500920337462252,1.1721424050157991,-1.2722739710424833
Austria,-1.0048796969865577,-0.6650823765106549,-0.01806243072923454,3.7053745539946132,-1.3773610092347315,-1.5891196504873468,1.488326786392276,-1.4806866855109646,-1.23148363640196,1.0737030850843479
Azerbaijan,-0.058914472429617545,0.1669979800374399,0.44627437033162715,0.019221917218448802,-0.006715540715650534,-0.03055019507508869,0.091636322497854,-0.003919827639942825,-0.31084916174883426,-0.010023748423821175
Belgium,0.0736361491940141,-0.07919778247328153,-0.20573085708022584,-0.26317873084449517,-0.08502191806210725,0.1317186321695165,-0.2308467832839962,0.1175648474767363,0.4102154045015359,-0.08873009652751912
Belize,-0.257262784804842,-0.0775812328532788,-0.711252192300849,-0.8442296455505084,1.972101268176629,0.9751547243583624,-0.6719975886821505,0.04799895395050288,0.17855442805142874,-0.8333732105466097
Benin,1.2247256708070164,-0.622677142040369,0.3883279383773328,-0.3781049747126617,1.8906315470350923,-0.23001939793255055,-0.05832996570494547,0.02208518200923239,-0.5934164977332641,-0.5160047309396393
Bhutan,0.04613683343545769,0.014880133348120597,0.23556175785123937,0.092532541295319,-0.056147655703226454,-0.12332647517834726,0.086689902472069,0.03791095433645994,-0.21948768029474555,0.07075473710408045
